name,capacity,latitude,longitude
Chester Ave & 12 Ave,21,40.644367,-73.984276
Walker St & Baxter St,47,40.717411,-73.999573
Hart St & Wyckoff Ave,24,40.704876,-73.919911
55 St & 5 Ave,28,40.642408,-74.013318
Morris Ave & E 171 St,21,40.83899,-73.9109
Fulton St & Williams Ave,21,40.67709,-73.9008
Prospect Pl & Underhill Ave,23,40.6769694,-73.96579
E 45 St & 3 Ave,32,40.75255434,-73.97282625
5 Ave & 3 St,30,40.6728155,-73.98352355
Grand Ave & Bergen St,25,40.678045,-73.962408
Broadway & W 192 St,23,40.857994,-73.932173
Rivington St & Ridge St,61,40.71850211,-73.98329859
E 53 St & 3 Ave,41,40.75763227739443,-73.96930575370789
3 St & 3 Ave,79,40.6750705,-73.98775226
Amsterdam Ave & W 180 St,23,40.847396,-73.931205
Isham St & Broadway,29,40.86788,-73.919685
Morningside Dr & Amsterdam Ave,35,40.81028506306003,-73.95736455917358
Linden St & Knickerbocker Ave,18,40.69714,-73.91566
E 138 St & 5 Av,22,40.81449,-73.936153
Washington Park,24,40.6917823,-73.9737299
Riverside Dr & W 72 St,41,40.78057799010334,-73.98562431335449
E 54 St & 1 Ave,41,40.756265,-73.964179
E 35 St & Madison Ave,50,40.74848023448579,-73.98255586624146
Graham Ave & Withers St,18,40.7169811,-73.94485918
64 St & 53 Dr,19,40.72897,-73.90115
Clinton St & Tillary St,33,40.696232971293156,-73.99142056703568
61 St & Queens Blvd,27,40.74091,-73.90273
44 St & Greenpoint Ave,27,40.741119944681465,-73.92103672027588
Grand St & Elizabeth St,45,40.718822,-73.99596
49 St & 31 Ave,19,40.758057,-73.909831
Vernon Blvd & 41 Rd,27,40.7552433,-73.9485678
Pleasant Ave & E 120 St,21,40.7974772,-73.9311847
37 Ave & 35 St,26,40.7531106,-73.9279917
Wards Meadow Comfort Station,18,40.78294,-73.93077
West Broadway & Watts St,35,40.72323,-74.00314
37 St & 24 Ave,19,40.7701477,-73.9120938
Bergen St & Carlton Ave,29,40.680092336223886,-73.97118045900022
Grand Concourse & E 199 St,21,40.87142,-73.88839
Amsterdam Ave & W 119 St,29,40.8086249,-73.9596214
5 Ave & 37 St,30,40.652657,-74.002356
Ogden Ave & W 165 St,19,40.834457,-73.928381
S 4 St & Roebling St,41,40.710709,-73.959724
Flushing Ave & Woodward Ave,21,40.71246,-73.91873
34 Ave & 21 St,23,40.7628138,-73.9342862
Bulova Ave & Brooklyn Queens Expressway W,19,40.762507,-73.902534
E 138 St & Park Ave,21,40.81263616769319,-73.92924964427948
Valentine Ave & E 183 St,23,40.856987,-73.898237
Columbus Ave & W 72 St,67,40.7770575,-73.97898475
Van Brunt St & Van Dyke St,24,40.6758329439129,-74.01472628116608
E 31 St & 3 Ave,3,40.74394314,-73.97966069
Ogden Ave & Merriam Ave,19,40.839142,-73.925961
E 95 St & 3 Ave,31,40.7849032,-73.950503
W 84 St & Broadway,63,40.7867947,-73.977112
E 48 St & 5 Ave,62,40.75724567911726,-73.97805914282799
E 165 St & Fox St,27,40.82394,-73.894025
E 88 St & Park Ave,38,40.781410700190015,-73.95595908164978
34 St & 48 Ave,25,40.740821207823245,-73.93147185444832
Grand St & Havemeyer St,31,40.71286844,-73.95698119
E Mosholu Pkwy & Van Cortlandt Ave E,22,40.87656,-73.88366
Pacific St & Classon Ave,21,40.6791944,-73.9587903
Bergen St & Buffalo Ave,21,40.6747,-73.92512
W 4 St & 7 Ave S,60,40.73401143,-74.00293877
Clinton Ave & Flushing Ave,23,40.69794,-73.96986848
Ft. Washington Ave & W 190 St,19,40.856906,-73.935662
Irving Ave & Palmetto St,20,40.698,-73.9127
E 5 St & Avenue C,55,40.72299208,-73.97995466
6 Ave & 60 St,22,40.638196,-74.013821
Washington Ave & Empire Blvd,27,40.66314,-73.9605695
W 74 St & Columbus Ave,3,40.7785669,-73.97754961
St. Ann's Av & Bruckner Blvd,17,40.803399,-73.919763
E 128 St & Madison Ave,23,40.80756,-73.939182
E 65 St & 2 Ave,48,40.76471851944339,-73.96222069859505
South St & Gouverneur Ln,43,40.70355377,-74.00670227
6 Ave & Walker St,39,40.7197920901383,-74.0052238852195
Bedford Park Blvd & Paul Ave,24,40.87444,-73.89186
Banker St & Meserole Ave,31,40.72606,-73.95621
55 Dr & Maurice Ave,19,40.7261,-73.90917
Albany Ave & Winthrop St,19,40.65791,-73.93967
61 St & Borden Ave,21,40.72558,-73.90417
Edgecombe Ave & W 145 St,31,40.823498,-73.94386
W 47 St & 6 Ave,68,40.758397,-73.98255
Union St & 4 Ave,28,40.6772744,-73.98282002
Clinton Ave & Myrtle Ave,33,40.693261,-73.968896
Washington Ave & E 174 St,19,40.843079,-73.900216
Myrtle Ave & 65 St,19,40.70117,-73.8904
Park Pl & Buffalo Ave,20,40.67202,-73.92539
Vesey St & Church St,48,40.71221958009051,-74.01047229766846
Canal St & Rutgers St,45,40.71427487,-73.98990025
E 59 St & Madison Ave,51,40.76350532,-73.97109243
Avenue D & E 12 St,41,40.72580614,-73.97422494
W 148 St & Amsterdam Ave,23,40.827075,-73.945909
Borden Ave & Review Ave,19,40.73866345465306,-73.94093804061413
Crescent St & 35 Ave,25,40.7596276,-73.9321455
W 25 St & 6 Ave,35,40.74395411,-73.99144871
E 84 St & 1 Ave,31,40.77565541,-73.95068615
Fort Washington Ave & W 173 St,24,40.84522,-73.940493
65 St & 2 Ave,21,40.640493,-74.02564
Church Ave & Story St,23,40.642031,-73.981073
39 St & Queens Blvd,21,40.74431,-73.92601
Hazen St & 20 Ave,23,40.772092,-73.895166
Broadway & W 53 St,85,40.76344058,-73.98268129
Goble Pl & Macombs Rd,19,40.844075,-73.917256
Bergen St & Vanderbilt Ave,27,40.6794388,-73.9680438
India St & Manhattan Ave,50,40.73232194,-73.9550858
E 5 St & Cooper Sq,50,40.72769,-73.990993
Franklin Ave & Myrtle Ave,27,40.694546087246025,-73.95801365375519
W 50 St & 9 Ave,30,40.763604677958625,-73.98917958140373
Kent Ave & Division Ave,44,40.706563674670925,-73.9683187007904
19 St & 24 Ave,23,40.7774552,-73.9225403
Ft. Hamilton Pkwy & E 5 St,23,40.649037,-73.97673
Harrison St & Hudson St,39,40.71870987,-74.0090009
